id,title,link,summary,published,category
https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,"These ships disappeared in Lake Superior a century ago. Watch as they're found again",https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,"The Great Lakes Shipwreck Historical Society has found two of three ships that sank in the same Lake Superior storm more than a century ago, locating one in 2021 and the other in 2022.","2023-04-18 19:29:01.000000","Natural Disasters"
https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,"Erotic images of seniors show sex and intimacy in new light",https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,"What does intimacy look like for seniors? There's no end to sex scenes and other steamy content featuring the young and unwrinkled, but past a certain age, popular culture largely draws a blank — or treats sex as a punchline.","2023-04-18 03:24:57.000000",Others
https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,"China's economy is off to a solid start, rising 4.5% in Q1 2023",https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,"China's economy is off to a solid start in 2023 following its emergence from three years of strict pandemic restrictions.","2023-04-18 07:01:12.000000",Others
https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,"Even when wives make as much as husbands, they still do more at home",https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,"• Four out of the five US metro areas with the lowest unemployment are in Florida. Here's why
• Opinion: The overlooked problem with raising the retirement age for Social Security","2023-04-16 17:29:49.000000",Others
https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,"McDonald's is upgrading its burgers",https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,"McDonald's, which has been focusing on upgrading its core items to boost sales, is rolling out a series of changes designed to improve its signature burgers.","2023-04-17 16:31:30.000000",Others
https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,"Google-parent stock drops on fears it could lose search market share to AI-powered rivals",https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,"Shares of Google-parent Alphabet fell more than 3% in early trading Monday after a report sparked concerns that its core search engine could lose market share to AI-powered rivals, including Microsoft's Bing.","2023-04-17 15:52:19.000000",Others
https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,"Bidets save you money and reduce waste — we tested the best options out there",https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,"50+ products to make your life easier and our planet cleaner",https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,"Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love",https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,"A head-to-toe guide of how men should dress this spring, and where they should shop",https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer,"42 of the most useful travel products you can buy on Amazon",https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer,"The 7 best high-yield savings accounts of April 2023",https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,"Taxes are due tomorrow. Here's how to file for an extension",https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/home/how-to-compost-at-home?iid=CNNUnderscoredHPcontainer,"Composting is an easy way to reduce food waste. Here's how to do it",https://www.cnn.com/cnn-underscored/home/how-to-compost-at-home?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/reviews/mmmat-silicone-mats?iid=CNNUnderscoredHPcontainer,"We stopped using aluminum foil for cooking and you should too. Here's what to use instead",https://www.cnn.com/cnn-underscored/reviews/mmmat-silicone-mats?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,"The beloved Dyson Supersonic hair dryer is at its lowest price ever",https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer,"Everything you need to know about Way Day 2023, Wayfair's biggest sale of the year",https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,"The 10 best Amazon deals to shop this week",https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,"No Summary Available",,Others
https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,"Mifepristone saved my life",https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,"The ruling earlier this month by a Texas federal judge to suspend the US Food and Drug Administration's approval of a drug that is used frequently for medication abortions, is very personal for me.","2023-04-18 11:30:00.000000",Others
https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman,"The 2024 presidential alternative many voters will want",https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman,"No Summary Available",,Others
https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,"Why isn't the House Judiciary Committee looking into Thomas?",https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,"On Monday, the GOP-controlled House Judiciary Committee — chaired by Donald Trump ally Rep. Jim Jordan — is set to hold a field hearing in New York City called ""Victims of Violent Crime in Manhattan."" A statement bills the hearing as an examination of how, the Judiciary Committee says, Manhattan District Attorney Alvin Bragg's policies have ""led to an increase in violent crime and a dangerous community for New York City residents.""","2023-04-17 11:37:37.000000",Others
https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,"Top secrets come spilling out",https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,"In 1917, British analysts deciphered a coded message the German foreign minister sent to one of his country's diplomats vowing to begin ""unrestricted submarine warfare"" and seeking to win over Mexico with a promise to ""reconquer the lost territory in Texas, New Mexico and Arizona"" if the US entered the world war. When it became public, the Zimmerman Telegram caused a sensation, helping propel the US into the conflict against Germany.","2023-04-16 11:22:36.000000","Terrorism/Protest/Political Unrest/Riot"
https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,"How did Sudan go from casting off despotic rule to this?",https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,"Four years ago, almost to the day, the people of Sudan were celebrating a revolution after overthrowing longtime dictator Omar al-Bashir. Now the East African country faces the possibility of a complete collapse similar to the chaos we see today in Yemen or Libya.","2023-04-17 22:45:23.000000",Others
https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,"Michelle Yeoh set to return in new 'Star Trek' movie",https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,"Live long and prosper, Michelle Yeoh.","2023-04-18 19:11:23.000000",Others
https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,"Recap: 'Succession' finds dark humor in the aftershocks",https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,"After the shock came the aftershocks, the power vacuum, and perhaps most significantly and impressively, the laughs, as ""Succession"" pivoted to face life after Logan Roy, in an episode that finally put the HBO show's title into full flower.","2023-04-17 02:28:12.000000",Positive/Uplifting
https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it",https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,"Of the many dark gifts Showtime's eerie hit series ""Yellowjackets"" serves up for us, the juiciest this season is by far the music.","2023-05-01 23:02:04.000000",Others
https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,"Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident",https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,"Jeremy Renner is continuing his recovery after his devastating snowplow accident in January, and recognizing those who've helped him along the way.","2023-04-16 19:04:10.000000",Others
https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,"Review: 'Barry' takes a whack at its farewell season",https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,"""Barry"" has taken chances from the very beginning, which is certainly true of a fourth and final season that picks up where the third left off, with its hitman-turned-wannabe actor getting arrested. That paves the way for an even darker season that accentuates the show's ensemble aspect while leaning a little too heavily on blurring lines with flights of fancy.","2023-04-14 12:33:08.000000",Others
http://www.pbs.org/newshour/bb/xi-jinping-celebrates-chinas-rising-power/,"Xi Jinping celebrates China’s rising power — and his own",http://www.pbs.org/newshour/bb/xi-jinping-celebrates-chinas-rising-power/,"President Xi Jinping opened China’s twice-per decade Communist Party Congress on Wednesday hailing the reforms he put in place during his first five-year term and sharing his vision for where he hopes to take the nation. William Brangham reports on the congress as it prepares to announce Xi’s successor and how new leadership may transform China’s role as a global economic partner.",,Positive/Uplifting
http://www.pbs.org/newshour/bb/battle-mosul-hidden-isis-danger-lurk-years/,"The battle for Mosul is over, but this hidden ISIS danger could lurk for years",http://www.pbs.org/newshour/bb/battle-mosul-hidden-isis-danger-lurk-years/,"Iraq may have ousted Islamic States militants from the city of Mosul over the summer, but the major task of finding and destroying the mines, booby traps and bombs remains. A security firm hired by the U.S. and Iraqi workers are making progress to clear major areas, but it could take years or even decades. Special correspondent Marcia Biggs reports on the safety of Mosul after ISIS.",,Others
http://www.pbs.org/newshour/rundown/rohingya-refugees-continue-flee-persecution-heres-can-help/,"As Rohingya refugees continue to flee from persecution, here’s how you can help",http://www.pbs.org/newshour/rundown/rohingya-refugees-continue-flee-persecution-heres-can-help/,"More than 500,000 Rohingya Muslims have fled their homes since August to escape systematic violence at the hands of government soldiers in Myanmar. Here's how you can help.",,Others
http://www.pbs.org/newshour/rundown/tillerson-heartbreaking-reports-suffering-myanmar/,"Tillerson: ‘Heartbreaking’ reports of suffering in Myanmar",http://www.pbs.org/newshour/rundown/tillerson-heartbreaking-reports-suffering-myanmar/,"WASHINGTON — Secretary of State Rex Tillerson is condemning reported atrocities committed against Rohingya Muslims in Myanmar, and he says those responsible — perhaps the country's military — will be held accountable.",,Others
http://www.pbs.org/newshour/bb/far-right-groups-gain-ground-sweden-germany-amid-migrant-influx/,"Far-right groups gain ground in Sweden and Germany amid migrant influx",http://www.pbs.org/newshour/bb/far-right-groups-gain-ground-sweden-germany-amid-migrant-influx/,"Sunday’s election in Austria brought victory to 31-year-old Sebastian Kurz, who was elected chancellor on an anti-immigrant platform. Earlier, a strengthened far-right party dealt a blow to returning leader Angela Merkel in Germany’s election. As Sweden’s election approaches next year, special correspondent Michael Brabant surveys the changing political landscape in Europe.",,"Terrorism/Protest/Political Unrest/Riot"
http://www.pbs.org/newshour/rundown/u-s-backed-syrian-forces-recapture-raqqa-from-islamic-state-group/,"U.S.-backed Syrian forces recapture Raqqa from Islamic State group",http://www.pbs.org/newshour/rundown/u-s-backed-syrian-forces-recapture-raqqa-from-islamic-state-group/,"U.S.-backed Syrian Democratic Forces announced Tuesday that they had captured the city of Raqqa from Islamic State militants.",,Others
http://www.pbs.org/newshour/rundown/watch-live-trump-and-greek-prime-minister-hold-joint-press-conference/,"WATCH: Trump and Greek prime minister hold joint news conference",http://www.pbs.org/newshour/rundown/watch-live-trump-and-greek-prime-minister-hold-joint-press-conference/,"President Donald Trump says the U.S. stands with Greece as they recover from their economic crisis.",,Others
http://www.pbs.org/newshour/rundown/u-s-japan-agree-maximize-diplomatic-pressure-north-korea/,"U.S., Japan agree to maximize diplomatic pressure on North Korea",http://www.pbs.org/newshour/rundown/u-s-japan-agree-maximize-diplomatic-pressure-north-korea/,"TOKYO — U.S. and Japanese diplomats agreed Tuesday to maximize pressure on North Korea to resolve tensions over its nuclear program, while citing the need to be prepared for the worst if diplomacy fails.",,Others
http://www.pbs.org/newshour/bb/news-wrap-dozens-missing-deadly-mogadishu-truck-bombing/,"News Wrap: Dozens missing after deadly Mogadishu truck bombing",http://www.pbs.org/newshour/bb/news-wrap-dozens-missing-deadly-mogadishu-truck-bombing/,"In our news wrap Monday, more than 300 people are confirmed dead and nearly 400 wounded after Saturday’s massive truck bombing in Somalia’s capital Mogadishu. The government blamed the al-Qaida-linked group al-Shabab. Also, 31-year-old conservative Sebastian Kurz is set to become the Austria’s next leader in another shift to the right in European politics.",,Others
http://www.pbs.org/newshour/bb/power-struggle-broken-kirkuk/,"Why a power struggle has broken out over Kirkuk",http://www.pbs.org/newshour/bb/power-struggle-broken-kirkuk/,"Two vital American allies have reignited their rivalry in Iraq. After months of simmering tensions, national military forces and militia moved to push Kurdish forces out of the disputed city of Kirkuk. Three weeks ago, the Kurds held a referendum to split from Iraq. Lisa Desjardins reports and Judy Woodruff talks with Emma Sky of Yale University and Feisal Istrabadi of Indiana University.",,Others
http://www.pbs.org/newshour/rundown/rex-tillerson-says-continue-diplomacy-north-korea-first-bomb-drops/,"Rex Tillerson says continue diplomacy with North Korea ‘until first bomb drops’",http://www.pbs.org/newshour/rundown/rex-tillerson-says-continue-diplomacy-north-korea-first-bomb-drops/,"That statement comes despite President Donald Trump's tweets a couple of weeks ago that his chief envoy was ""wasting his time"" trying to negotiate with ""Little Rocket Man,"" a mocking nickname Trump has given the nuclear-armed nation's leader, Kim Jong Un.",,Others
http://www.pbs.org/newshour/bb/iraqi-kurdish-forces-standoff-weeks-kurdish-vote-independence/,"Iraqi, Kurdish forces in standoff, weeks after Kurdish vote for independence",http://www.pbs.org/newshour/bb/iraqi-kurdish-forces-standoff-weeks-kurdish-vote-independence/,"Iraqi army and Kurdish troops are in a standoff in Kirkuk, a city located in the Kurdistan region, which voted for independence from Iraq last month. Kirkuk holds 10 percent of Iraq’s oil reserves. Washington Post reporter Loveday Morris, who is covering the standoff, joins Hari Sreenivasan via Skype from Baghdad.",,Others
http://www.pbs.org/newshour/bb/south-sudan-civil-war-causes-africas-worst-refugee-crisis/,"South Sudan civil war causes Africa’s worst refugee crisis",http://www.pbs.org/newshour/bb/south-sudan-civil-war-causes-africas-worst-refugee-crisis/,"South Sudan’s four-year civil war has left half of the nation’s population, 6 million people, in need of humanitarian aid and caused one of the world’s worst refugee crises. With support from the U.S. Holocaust Memorial Museum’s Center for the Prevention of Genocide, NewsHour Weekend Special Correspondent Simona Foltyn and journalist Jason Patinkin traveled to Uganda to meet people desperate for asylum.",,Others
http://www.pbs.org/newshour/rundown/hundreds-dead-massive-truck-bomb-strikes-mogadishu/,"Hundreds dead after massive truck bomb strikes Mogadishu",http://www.pbs.org/newshour/rundown/hundreds-dead-massive-truck-bomb-strikes-mogadishu/,"At least 231 people were killed and hundreds more wounded after a massive truck bomb on Saturday struck Somalia's capital city of Mogadishu.",,Others
http://www.pbs.org/newshour/updates/reporters-notebook-reporting-south-sudan-difficult-critically-needed/,"Column: Why reporting from South Sudan is so difficult — and critically needed",http://www.pbs.org/newshour/updates/reporters-notebook-reporting-south-sudan-difficult-critically-needed/,"The war has had a devastating impact on South Sudanese communities, but much of it has remained out of the limelight of international media.",,Others
